question_id,user_id,is_correct
0133115,pilvdwvxvx,0
1019533,qfmalphn,0
0028377,qvvelj,1
0011414,rsuzvmc,0
0119769,ijajqvsyp,1
1004101,zwxwbpux,1
1087305,weqaprh,1
0190013,wzfpixl,0
1078111,wovcx,0
0074839,xhkqlnk,1
0100796,rflakm,0
0033822,xeyddos,0
0203406,yakdez,1
1106759,rscerkudr,1
1086472,pxszbf,0
1005745,jdxandda,1
0204105,qabovjtq,0
0019187,vvaicdop,0
1091249,gazpyu,1
0133926,jwncygfxds,1
0096374,irspbje,0
1023611,vhzfsdesbk,1
1124620,kvviqbog,1
1098854,xdty,1
0049618,wmqeqjymad,1
0074666,kbougsec,0
0023053,rzjcnjg,0
1114591,qgqcso,1
0214904,nsszcxvn,1
1022903,yxrpsqnudagf,0
0139250,bvffrzhn,0
1046598,qavkpqk,1
1040877,lpjiddqx,0
0203589,uhnudhf,1
1080445,fxoxrfb,0
0099748,edpeudl,0
0213323,lhqsoxhj,1
1074368,qihmlpjg,1
0077342,wywtxbwf,1
1089792,wggftkxgjt,1
0169844,fsdj,0
1048583,sweg,1
1115508,svykvc,0
1048702,boihmphbt,0
1018494,lthchxpdao,0
1057483,krrjrwuq,0
0206333,owmfqivf,0
1047475,erwoyjljrc,0
0102804,gphiptfk,0
1006928,rygtwxixye,1
0060252,ezenxhma,1
0012606,qfsablvdn,0
0107826,dgxhe,0
0122870,iwdedevphf,0
1021462,sdfhei,1
1086957,zfdcjxc,1
1017937,unprrljfl,0
1119316,vniafqzhobfl,0
1037053,tqlnc,1
0120073,miobelj,1
1032617,uzddex,1
1134298,hllzjpq,0
1109507,dhodonkx,0
1028376,nxuwdc,1
0065377,uhlxnr,1
0190486,ytwqxsbl,1
0106341,xhuthdop,1
0130580,tnpozqi,1
1083464,ctgnvkjxov,1
1025060,bgnix,1
0085705,oareqxmlp,1
0032432,txspbs,0
0133209,wbuarbtkj,0
1054343,ugijsrc,0
0203671,piuuinco,0
1039202,snqhlxdlw,0
1090212,ufdsjedbzu,0
1134339,iilaaaxpfg,1
1094137,dyrrcvhsv,1
1028943,ibknzaw,0
1003128,bfloqwcjh,0
0082631,izahdtut,0
0215511,nljowp,0
0039261,hoyojkbf,0
1022656,axgakfto,1
1105407,vbjdwrrg,0
0076657,gvvqnhvtql,1
1001046,vrys,0
1074861,iscbohbmahd,0
1001161,kjappu,1
0020584,xxch,0
0158305,lqeyrchsfqe,1
1041849,czpbfdqz,1
0074113,liwam,1
1107279,ixbsvl,1
1091297,zjkjml,1
0204748,hiavjlbzb,0
0146961,xmxkmesdzl,1
0112445,oeacwfz,0
0048461,knqzxzmdqce,0
1067717,cjdxmlwic,1
0079164,fxogzaadc,0
0210469,dgznvlxuie,1
1041168,fynwcilwq,0
0204133,hadjlyuz,1
1014966,exannqszsdg,1
0161369,ejbszot,1
0213209,qwpcmczhvmpv,1
0000354,shqlfthet,1
0030064,uvymaxxat,1
1066878,aegder,1
0001101,puykplud,1
1044883,elqhvfzd,1
1132091,dxpkefiab,1
1127961,iayxu,0
0039974,hdlfjmnek,1
0172026,lrgwxsiw,0
1026807,vtqwukvc,1
1080893,yfimgysreaood,0
1092010,hledqvnxbk,0
0127435,odmiepzb,1
0098920,jmkkvzgqv,1
0206746,gfqnqplvqn,1
1117273,zsbikmhr,1
0008076,izssycyfd,1
0030783,guoxfue,0
1044507,oksucglg,0
0046279,vwmvdlkzq,0
0112373,gufshqgn,0
0135356,beceypedo,0
1086355,pmlinr,1
1066999,gbunwq,1
0194006,fptvtxtkk,1
1043856,febgubdpf,0
1127235,ipkuhl,0
1111668,yjpdfb,0
0056997,lgghpgwugrwu,0
1064131,aqnvrvnsav,0
1054881,omzndtq,1
1125494,kxocygkneiil,0
0216777,qknytt,1
1097069,bmidi,0
0006059,vkgtlalth,0
0086445,dlwnroy,1
0079183,dnlujwncrxc,0
0158345,vwbdmnynep,0
1034959,tqjurir,0
1096518,aiqjiwkjql,0
0037665,vmfyexd,1
1088438,gpmsosn,1
0068828,nrfzxoy,0
1030920,npinbgov,1
1038076,xqgyobwwj,0
1099854,onbnrmuigp,0
0033294,gfdbzloiu,0
1115726,ykvuccspg,0
0186430,cpwzjcxzhm,0
1115047,unpdnfsqym,1
0199741,fgxzcdxeq,0
1096367,mtbnibtpc,0
0180777,ammwrcjkjq,0
0131488,zcagsayxg,1
0128899,lvxhjohb,1
0214983,sdehmbg,1
1107392,ynkkunar,0
0026055,jpvyelkm,0
0048879,via,1
1030129,vqabgvdn,1
0048872,hurx,1
1108419,nuiyi,0
0163868,cqebrshzftqiy,1
1133711,iptwaawj,1
0065024,leieaquy,1
0120349,qsjkcyi,1
1070552,cciscwk,1
0084728,pplneid,1
1125989,stffidocc,1
1108351,tyaysimi,0
0163308,pboru,0
0176257,vmadxz,1
0014228,zktdvpdit,0
1033913,bqyzetcci,0
0201940,qweszu,0
0032035,ubsghj,1
0004949,slviqmuqrmu,0
1027157,egnssxpvr,1
0105107,lhmchmlpiy,1
1013307,ymufmiqt,1
0063393,vpofuta,1
0108160,zywobrnrk,1
0077319,xtlynueca,0
0062588,cjmdnflmyji,0
1103061,joeobu,0
1020048,fnpwnre,1
0124897,okwno,0
1114709,assnrdd,0
1045572,ofspicbricg,1
0161360,ntpampdbgr,0
0118619,jpbgrzkc,0
1128241,jkrmtjueg,0
0033178,wycdjcbkegq,0
0169943,homxxxaqcpby,0
0199885,tkyvfno,1
1077188,rxauncmk,0
0201214,tgvu,0
0160123,uwymzalkg,1
0039856,caccmgdee,1
0075347,cttkycili,1
1005180,wxrqnnqbe,0
1046697,ioacu,0
1045157,iwqoolzhwg,1
1015924,ejrzsyzjr,1
0158656,zlvmapj,1
1077618,iwjgviyqt,0
1034138,lwaifxxd,0
0168052,phjtjuaew,1
1026723,dvobbdnpd,0
0038391,bdhniojmo,1
1102804,hisqkmtvm,0
0114673,ffcglcydb,0
0107235,tfesyq,1
1123428,jnaeoyrghg,1
0051449,hgnlrwx,1
1076097,yopgaeq,1
1094637,rokfwmrahaa,0
0092136,blxvhxpk,0
0131621,gxfujku,0
0128440,ezfxqfvquav,1
0112177,ghbtuayaj,1
1010376,zbev,1
1103840,begpvwzq,1
1030303,suzhshzgr,1
1080198,miqstly,0
1083005,uutoxmha,1
1106526,ojgqprlhm,0
0129176,vlxuoxq,0
0175323,kxejcgfc,0
0101176,otouvjgq,1
0194105,tdhphj,0
1004263,xrwqtcq,1
1092063,fhhq,1
1110213,udmk,0
1073482,lqxmpc,0
1099056,pwaynujcx,1
0101353,ldeosnkfdhrnr,0
1078729,nbhsevrz,0
1008190,nhkrqlgtad,0
0074928,elgncujykc,0
1086329,votaroevno,1
1124239,evbbevynbzn,1
1036658,xbia,0
0123193,liorreon,1
1109448,pjpepprjn,1
1062362,kjahwhb,0
0114441,myicdcq,1
1062593,epgjconp,1
1026337,cpnsmhd,1
0070530,hxyntfc,0
0032032,xqadnwa,0
1057477,owxfmghbq,0
1083275,qqcikry,0
1131358,afbvywdiv,1
0095744,mqeoqs,1
0064899,gyujcfnhnv,1
1107893,tuerxxn,0
0178315,aobtjvq,1
0104306,yvruhvvq,0
0117503,thaekqq,1
0064947,caphkaieq,0
0034945,ygyuvvr,1
0132278,whozrr,1
0136744,uqtk,1
1012004,fepejecc,1
1107043,lfcdelijs,1
0024463,hhxuyhfug,1
0061073,yyyogrpo,0
0029149,ibkjlbjg,0
1099074,jqdaavd,1
1092349,aeaglbdff,0
0007789,dndvptsu,0
1022034,oqpjfy,0
0121702,ptrbwqy,1
0099301,mlwjpyywsx,0
0046047,rnxyexygk,0
0044458,skhjpmtgro,0
1046536,xkjudlslq,0
1010988,qeaxj,0
1056806,pwytx,0
1061295,vumcqnckf,1
1062499,dkhr,0
1084783,rwpgexy,1
0001167,cespdcn,1
1093582,xlsngiw,0
1025223,sfrqokd,0
0107417,dmywdpcpw,1
1044645,dzzosxcuh,0
1041512,eaftneq,1
0113488,latdaxrpq,1
1009878,chjkvlx,1
1060663,iibfpwo,1
0156678,mhuydlf,1
1066640,vfpvsppmd,1
1131244,xkfndmcl,1
0172223,ibopomc,0
0108362,hzzyyolvi,0
0026912,uucjmn,0
1074291,gjoelvoagm,0
1009213,yvipw,0
1095531,fcaquzaaixt,1
0204868,qvvvyjg,1
1056158,ytjodst,0
1136813,akgrsl,1
1025070,tgpwwdlk,0
0079962,zmysacz,1
1045768,hzkbdmr,1
0011995,ozecemuhhwc,1
1136796,kfps,1
1064187,vcrhmftzgzk,1
