question_id,answer
1000000000,Sinclair Lewis
1000000001,York
1000000002,30s
1000000003,Portugal
1000000004,Chicago
1000000005,Chicago Bears
1000000006,Norway
1000000007,Japan
1000000008,Walter
1000000009,Golding
1000000010,Windshield wipers
1000000011,Big Bill Broonzy
1000000012,Joan Rivers
1000000013,Ballet
1000000014,Italy
1000000015,Helicopter
1000000016,Heidelberg
1000000017,Edward
1000000018,1914
1000000019,Robert Ballard
1000000020,Posh Spice
1000000021,DZ
1000000022,Helicopter accident
1000000023,Pisces
1000000024,Maeve Binchy
1000000025,Fiji
1000000026,Ballet
1000000027,Bo Donaldson & The Heywoods
1000000028,Insulin
1000000029,Federico Fellini
1000000030,Costa Rica
1000000031,Stanley Kubrick
1000000032,Iwo Jima
1000000033,Boxing
1000000034,Amelia Earhart
1000000035,Seattle
1000000036,Chicago
1000000037,Gerald Ford
1000000038,1940s
1000000039,Eastman
1000000040,The Odd Couple
1000000041,Sony
1000000042,Switzerland
1000000043,Mahogany
1000000044,Rat
1000000045,6
1000000046,Colorado
1000000047,Sophie's Choice
1000000048,William Shatner
1000000049,Thursday
1000000050,Columbia
1000000051,Batdance
1000000052,Bad
1000000053,Suwon
1000000054,Barbuda
1000000055,1950s
1000000056,Gigi
1000000057,Hong Kong
1000000058,Basset hound
1000000059,Kit Carson
1000000060,Meryl Streep
1000000061,18th
1000000062,Teapot Dome Scandal
1000000063,Hook
1000000064,Tiger
1000000065,Austria
1000000066,Rhode Island
1000000067,General Hospital
1000000068,7 million
1000000069,Pottery
1000000070,On Her Majesty's Secret Service
1000000071,1965
1000000072,Bras
1000000073,Peter Tork
1000000074,Lusitania
1000000075,50s
1000000076,Len Deighton
1000000077,Restaurants
1000000078,Switzerland
1000000079,And that's the way it is
1000000080,Bellamy Brothers
1000000081,Nevada
1000000082,Korean
1000000083,Alistair Cooke
1000000084,Warner Amex
1000000085,Radium
1000000086,Elephant
1000000087,REO Speedwagon
1000000088,38th Parallel
1000000089,S
1000000090,Half
1000000091,Blackmail
1000000092,Washington Times Herald
1000000093,TR
1000000094,Henry James
1000000095,Nautilus
1000000096,Friendship 7
1000000097,Haematology
1000000098,Vietnam
1000000099,Nitrous oxide
1000000100,60 feet
1000000101,None
1000000102,Bicycle moto x (cross)
1000000103,The Brooklyn Dodgers in 1938
1000000104,350 pounds. The minimum is 200 pounds
1000000105,"Joe Nickro in 1976. Nickro, a pitcher with the Houston Astros, hit a four-bagger off his brother Phil, who was pitching fro the Atlanta Braves. Houston won the game, 4-3"
1000000106,"23 years. Third baseman Robinson played with the Baltimore Orioles from 1955 to 1977; Carl Yastrzemski, outfielder/first baseman, played with the Boston Red Sox from 1961 to 1983"
1000000107,At least 6 grams. Silver medals must be at least .925 sterling silver
1000000108,Mormon leader Brigham Young
1000000109,"Only the Wimbledon trophy is gold; the others--for the U.S. Open, the French Open and the Australian Open--are sliver"
1000000110,The Bagel
1000000111,Gin
1000000112,The onion. Its round shape symbolized eternity
1000000113,Houston Texas
1000000114,"Venezuela, where the annual pasta consumption is 27.9 pounds"
1000000115,Frosted food
1000000116,Suez Canal
1000000117,Egypt
1000000118,Uganda
1000000119,South Africa
1000000120,Dohomey
1000000121,Morocco
1000000122,Sadat
1000000123,Burkina Faso
1000000124,Tutankhamen
1000000125,Kenya
1000000126,Blue Nile and White Nile
1000000127,Morocco
1000000128,Gordon
1000000129,Zambia and Zimbabwe
1000000130,Great Rift Valley
1000000131,Humphrey Bogart
1000000132,Alan Paton
1000000133,Nairobi
1000000134,Portugal
1000000135,Somalia
1000000136,Freetown
1000000137,Tanzania
1000000138,Sudan
1000000139,Burkino Faso
1000000140,Winnie Mandela
1000000141,Zimbabwe
1000000142,Marcus Garvey
1000000143,Togo
1000000144,Limpopo
1000000145,Appalachian
1000000146,Sound of Silence
1000000147,Duran Duran
1000000148,Poland
1000000149,Frank Capra
1000000150,Greece
1000000151,Lou Christie
1000000152,1980
1000000153,Frank Carlucci
1000000154,Francis Ford Coppola
1000000155,Boston
1000000156,Aladdin
1000000157,Memphis Group
1000000158,Supremes
1000000159,Susan Sarandon
1000000160,L. P. Hartley
1000000161,Mary Poppins
1000000162,Bobby Lewis
1000000163,Sun
1000000164,Don Adams
1000000165,V
1000000166,Snoopy
1000000167,70s
1000000168,Squash
1000000169,Versailles
1000000170,Tom Jones
1000000171,Exxon
1000000172,3rd Sunday in June
1000000173,1900s
1000000174,50s
1000000175,Bobby Fischer
1000000176,Mussolini
1000000177,Squibb
1000000178,Greta Garbo
1000000179,Marlon Brando
1000000180,Triple
1000000181,Wake Me Up Before You Go Go
1000000182,Carousel
1000000183,1972
1000000184,Challenger
1000000185,White
1000000186,Dwight Eisenhower
1000000187,Egypt
1000000188,America
1000000189,10
1000000190,Perry Mason
1000000191,ABC
1000000192,1960s
1000000193,Three
1000000194,Nevada
1000000195,Champion
1000000196,Pittsburgh
1000000197,"Chicago, Illinois"
1000000198,REM
1000000199,Royal Canadian
1000000200,Tears
1000000201,West Side Story
1000000202,Boeing
1000000203,1930s
1000000204,Norway
1000000205,Maryland
1000000206,Liberty Enlightening the World
1000000207,Matt Monro
1000000208,Exxon
1000000209,Austria
1000000210,Human League
1000000211,Barbara Hershey
1000000212,Chi-Lites
1000000213,1910s
1000000214,Lucy
1000000215,Oklahoma
1000000216,Edgar Allan Poe
1000000217,Herb and Tootsie Woodley
1000000218,The Green Hornet
1000000219,Wonder Woman
1000000220,Rebecca
1000000221,La Gioconda
1000000222,Minnehaha
1000000223,Five
1000000224,Kala
1000000225,Goodness Had Nothing to Do With It
1000000226,Chuckle and snort
1000000227,The soul of lingerie
1000000228,Belgium
1000000229,"Pork Corners, Kansas"
1000000230,John Little
1000000231,Julie Andrews
1000000232,Ellery Queen
1000000233,39 times
1000000234,Andrew Warhola
1000000235,Boopadoop
1000000236,Al Capp's Li'l Abner
1000000237,Otto
1000000238,Flush
1000000239,Pippa Passes
1000000240,Ozcot
1000000241,"Lhasa, Tibet"
1000000242,Three days and three nights
1000000243,The Beatles' first appearance on The Ed Sullivan Show
1000000244,"Six cubits and a span,"
1000000245,Pottage of lentils (Genesis 25:29-34)
1000000246,"The petrel, from a diminutive form of Petrus, or Peter, in Latin"
1000000247,Sarah
1000000248,Zechariah
1000000249,In Greek
1000000250,About 200 million
1000000251,David and Bathsheba
1000000252,Horton
1000000253,Lana Lang
1000000254,The Little Engine that Could
1000000255,Nathanial Hawthorne
1000000256,Sebastian Melmoth
1000000257,Katie
1000000258,24
1000000259,Mafia
1000000260,Lothar
1000000261,Napoleon
1000000262,Dick Tracy
1000000263,Punjab
1000000264,Jaws
1000000265,"Daphne du Maurier, best known for Rebecca"
1000000266,Neville Chamberlain
1000000267,Colditz
1000000268,William Howard Taft
1000000269,Carole King
1000000270,James Caan
1000000271,Italy
1000000272,Walter Cronkite
1000000273,Oscar Wilde
1000000274,Nancy Sinatra
1000000275,Montell Jordan
1000000276,Kakadu National Park
1000000277,Joey
1000000278,Graham Nash
1000000279,1920s
1000000280,Gladys Knight
1000000281,Dangerous
1000000282,H
1000000283,"Flint, Michigan"
1000000284,Mexico
1000000285,Peter & Gordon
1000000286,Mississippi
1000000287,Golda Meir
1000000288,The Four Seasons
1000000289,Ireland
1000000290,Julian Edwin
1000000291,Uruguay
1000000292,Chancellor
1000000293,Helicopter
1000000294,Photographer
1000000295,Kansas
1000000296,No one
1000000297,Another Day in Paradise
1000000298,Me Natalie
1000000299,1919
1000000300,Oliver Stone
1000000301,Petula Clark
1000000302,Rhode Island
1000000303,Guitar
1000000304,India
1000000305,BRU
1000000306,Norvell
1000000307,Mexico
1000000308,76
1000000309,Vicki Lawrence
1000000310,Greenland
1000000311,Debra Winger
1000000312,The Minotaur's
1000000313,Iris
1000000314,The olive tree
1000000315,The Chimera
1000000316,Paris
1000000317,Persephone
1000000318,Tom Lehrer
1000000319,"Turn on, tune in"
1000000320,Rolihlahla
1000000321,68
1000000322,Sunken pirate ships
1000000323,Gray Lady Down
1000000324,Toto
1000000325,A: Kumayri
1000000326,James Osterberg
1000000327,Worked in insurance
1000000328,Canada
1000000329,"22,300"
1000000330,Randy Newman
1000000331,Cancer
1000000332,Malcolm X
1000000333,Magellan
1000000334,Gary Kasparov
1000000335,Barry Levinson
1000000336,Ruth
1000000337,Ice Skating
1000000338,First decade
1000000339,Taurus
1000000340,New York Giants
1000000341,Texas
1000000342,1969
1000000343,Al Wilson
1000000344,Poland
1000000345,Henry
1000000346,Columbia
1000000347,69
1000000348,Grant Wood
1000000349,Indonesia
1000000350,"82,751 square miles"
1000000351,Earl Hines
1000000352,Italy
1000000353,Jean Batten
1000000354,Margaret Thatcher
1000000355,Radioactivity
1000000356,Bobby Darin
1000000357,Oscar Wilde
1000000358,Australia & New Zealand
1000000359,50 miles
1000000360,Joseph Papp
1000000361,KLM
1000000362,Eleanor Roosevelt
1000000363,Pittsburgh
1000000364,Ross Norman
1000000365,Kikuyu
1000000366,Color Me Badd
1000000367,1991
1000000368,Sweden
1000000369,1936
1000000370,Del Shannon
